0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:05:46 +0700] "GET /heii/indexd.html HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:05:58 +0700] "GET /heii/indexd.html HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:08:51 +0700] "GET /heii/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:10:23 +0700] "GET /heii/index.jsp HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:19:18 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:19:30 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:19:58 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 30365
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:20:14 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 30365
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:24:37 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 28062
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:25:56 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 28062
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:27:24 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 25028
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:28:00 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 30372
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:28:36 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 30372
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:28:44 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 30372
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:28:58 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 28066
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:29:24 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 28066
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:29:41 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 28066
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:29:58 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 27355
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:30:50 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 26068
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:31:03 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 25608
0:0:0:0:0:0:0:1 - - [19/Feb/2024:08:31:27 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24376
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:33:15 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24376
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:36:50 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24376
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:37:00 +0700] "GET / HTTP/1.1" 404 673
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:37:06 +0700] "GET /heii HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/ HTTP/1.1" 200 30326
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/logo.png HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/style.css HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/h4-slide.png HTTP/1.1" 200 76370
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/h4-slide2.png HTTP/1.1" 200 177618
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/h4-slide3.png HTTP/1.1" 200 138136
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/h4-slide4.png HTTP/1.1" 200 115083
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/owl.carousel.min.js HTTP/1.1" 200 40401
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/jquery.sticky.js HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/jquery.easing.1.3.min.js HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/main.js HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/bxslider.min.js HTTP/1.1" 200 19368
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/js/script.slider.js HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-1.jpg HTTP/1.1" 200 22598
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-2.jpg HTTP/1.1" 200 27636
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-3.jpg HTTP/1.1" 200 25787
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-4.jpg HTTP/1.1" 200 16494
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-5.jpg HTTP/1.1" 200 13285
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-6.jpg HTTP/1.1" 200 30528
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand1.png HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand2.png HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand3.png HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand4.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand5.png HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/brand6.png HTTP/1.1" 200 10568
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-thumb-1.jpg HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-thumb-2.jpg HTTP/1.1" 200 10684
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-thumb-3.jpg HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/img/product-thumb-4.jpg HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [19/Feb/2024:09:44:47 +0700] "GET /heii/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:04:27 +0700] "GET /heii/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:04:41 +0700] "GET /heii/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:05:21 +0700] "GET /heii/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:06:59 +0700] "GET /heii/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:07:19 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 20347
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:08:42 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 13106
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:08:53 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 11491
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:09:43 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 11491
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:14:51 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 11491
0:0:0:0:0:0:0:1 - - [19/Feb/2024:10:20:32 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 11177
0:0:0:0:0:0:0:1 - - [19/Feb/2024:18:04:53 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [19/Feb/2024:18:05:39 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 2557
0:0:0:0:0:0:0:1 - - [19/Feb/2024:18:07:36 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19608
0:0:0:0:0:0:0:1 - - [19/Feb/2024:18:07:47 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19608
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:42:12 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19713
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:43:00 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19713
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:43:47 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19713
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:43:52 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 18738
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:45:11 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:46:19 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 19685
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:47:33 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 3704
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:47:57 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 3705
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:48:39 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 3704
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:51:08 +0700] "GET /heii/index2.jsp HTTP/1.1" 500 3704
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:53:07 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:53:35 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24817
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:54:46 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24729
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:55:11 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24735
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:55:44 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24735
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:56:14 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24735
0:0:0:0:0:0:0:1 - - [19/Feb/2024:21:56:35 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 24732
