127.0.0.1 - - [27/Feb/2024:08:09:27 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:09:28 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 18653
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:09:29 +0700] "GET /heii/home HTTP/1.1" 200 24680
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:09:29 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:09:30 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:10:00 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 18653
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:10:05 +0700] "GET /heii/home HTTP/1.1" 200 24681
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:11:04 +0700] "GET /heii/index2.jsp HTTP/1.1" 200 18653
0:0:0:0:0:0:0:1 - - [27/Feb/2024:08:11:16 +0700] "GET /heii/home HTTP/1.1" 200 24681
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:20:07 +0700] "GET /heii/home HTTP/1.1" 200 24681
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:20:12 +0700] "GET /heii/home HTTP/1.1" 200 24681
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:20:26 +0700] "GET /heii/home HTTP/1.1" 200 24683
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:21:57 +0700] "GET /heii/home HTTP/1.1" 200 24683
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/index.html HTTP/1.1" 200 30326
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/img/h4-slide3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/img/h4-slide4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/img/h4-slide2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:31:55 +0700] "GET /heii/img/h4-slide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:32:03 +0700] "GET /heii/home HTTP/1.1" 200 24683
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:34:11 +0700] "GET /heii/shop.html HTTP/1.1" 200 22650
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:34:11 +0700] "GET /heii/img/crossword.png HTTP/1.1" 200 43715
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:38:13 +0700] "GET /heii/home HTTP/1.1" 200 24683
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:38:37 +0700] "GET /heii/home HTTP/1.1" 200 24687
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:51:31 +0700] "GET /heii/home HTTP/1.1" 200 24687
0:0:0:0:0:0:0:1 - - [27/Feb/2024:09:54:29 +0700] "GET /heii/home HTTP/1.1" 200 24687
